iter	RMSE
0	1.024292437
1	1.016602989
2	1.009275816
3	1.002231397
4	0.9954538929
5	0.9889289368
6	0.9827907057
7	0.9769886478
8	0.9713079914
9	0.9660725105
10	0.961370987
11	0.9564862616
12	0.951985147
13	0.9475943194
14	0.9432980156
15	0.9393677466
16	0.9355094765
17	0.9320570412
18	0.9284989169
19	0.92525523
20	0.9222242606
21	0.9192110892
22	0.9163989024
23	0.913638163
24	0.9111809926
25	0.9086593461
26	0.9064360195
27	0.9041271913
28	0.9018815527
29	0.8997708201
30	0.8977530358
31	0.8957423847
32	0.8940161276
33	0.8921109795
34	0.8904887873
35	0.8890521328
36	0.8875660226
37	0.8861943832
38	0.8847045632
39	0.883260862
40	0.8819304566
41	0.8806511697
42	0.8793552927
43	0.8780610794
44	0.8768353216
45	0.8758200745
46	0.8747476971
47	0.8737947657
48	0.8727582436
49	0.8719103392
50	0.8708874126
51	0.8700549974
52	0.8691838452
53	0.8684201605
54	0.8677174502
55	0.8669258072
56	0.8662978834
57	0.8657198785
58	0.8651067418
59	0.8645127943
60	0.8638929684
61	0.8633768714
62	0.8628064985
63	0.862254323
64	0.8618289597
65	0.8614141585
66	0.8609394928
67	0.8604527027
68	0.8599067324
69	0.8594458661
70	0.8588738733
71	0.8584768545
72	0.857942351
73	0.857573668
74	0.8570086666
75	0.8565804841
76	0.8562533371
77	0.8559064657
78	0.8555411506
79	0.8551739673
80	0.8547265156
81	0.8543557205
82	0.854022641
83	0.8536546623
84	0.8531534333
85	0.8528652314
86	0.8525808481
87	0.8522619871
88	0.8520021117
89	0.8517402573
90	0.8515060088
91	0.8512211916
92	0.8508721581
93	0.8506534449
94	0.8503949767
95	0.8501339578
96	0.8499535357
97	0.8496861043
98	0.8494329783
99	0.8491212382
100	0.8488786623
101	0.8486642013
102	0.8484579072
103	0.8482143904
104	0.84800777
105	0.8478717081
106	0.8476201951
107	0.8474292311
108	0.8471939005
109	0.8470099457
110	0.8467348455
111	0.846529653
112	0.8464107744
113	0.8460734825
114	0.8459758071
115	0.8458126491
