iter	Passed	Remaining
0	310	621208
1	469	469445
2	568	378156
3	711	354947
4	860	343514
5	1028	341917
6	1175	334539
7	1329	331147
8	1458	322681
9	1624	323259
10	1755	317417
11	1908	316241
12	2041	312004
13	2196	311594
14	2336	309196
15	2456	304661
16	2592	302428
17	2689	296138
18	2849	297079
19	2984	295483
20	3140	295935
21	3291	295933
22	3412	293355
23	3554	292653
24	3679	290694
25	3842	291760
26	3957	289171
27	4108	289378
28	4279	290888
29	4419	290196
30	4562	289799
31	4724	290538
32	4863	289912
33	5007	289580
34	5189	291362
35	5290	288600
36	5426	287881
37	5544	286267
38	5685	285865
39	5851	286703
40	5990	286223
41	6163	287335
42	6322	287733
43	6444	286485
44	6572	285530
45	6702	284727
46	6845	284462
47	6983	284003
48	7131	283938
49	7266	283385
50	7399	282766
51	7576	283841
52	7727	283894
53	7868	283566
54	8010	283294
55	8155	283108
56	8309	283252
57	8452	283009
58	8610	283270
59	8763	283340
60	8915	283402
61	9068	283476
62	9205	283034
63	9330	282246
64	9424	280546
65	9570	280434
66	9735	280889
67	9908	281516
68	10065	281692
69	10236	282230
70	10401	282593
71	10530	281973
72	10680	281938
73	10850	282411
74	10994	282200
75	11124	281635
76	11262	281279
77	11390	280663
78	11543	280698
79	11698	280764
80	11827	280220
81	11987	280391
82	12148	280584
83	12303	280638
84	12441	280297
85	12572	279817
86	12676	278730
87	12822	278602
88	12971	278529
89	13127	278603
90	13289	278790
91	13436	278651
92	13580	278479
93	13711	278028
94	13861	277950
95	13991	277497
96	14147	277560
97	14355	278609
98	14508	278595
99	14648	278321
100	14766	277633
101	14905	277353
102	15055	277290
103	15200	277120
104	15356	277140
105	15506	277067
106	15679	277386
107	15807	276920
108	15967	277016
109	16139	277306
110	16300	277395
111	16473	277700
112	16632	277744
113	16801	277957
114	16934	277585
115	17078	277382
116	17239	277447
117	17350	276725
118	17473	276194
119	17598	275706
120	17737	275448
121	17790	273859
122	17916	273411
123	18023	272683
124	18149	272243
125	18314	272384
126	18478	272516
127	18642	272640
128	18806	272767
129	18965	272809
130	19113	272701
131	19259	272546
132	19418	272589
133	19562	272417
134	19711	272316
135	19863	272241
136	19996	271926
137	20150	271882
138	20312	271953
139	20441	271575
140	20573	271245
141	20713	271028
142	20837	270597
143	21003	270706
144	21150	270585
145	21323	270782
146	21457	270484
147	21589	270164
148	21761	270334
149	21912	270259
150	22046	269955
151	22187	269756
152	22324	269498
153	22500	269713
154	22613	269176
155	22737	268770
156	22880	268589
157	23016	268337
158	23159	268155
159	23325	268242
160	23482	268224
161	23642	268234
162	23793	268154
163	23940	268021
164	24032	267267
165	24163	266966
166	24281	266519
167	24423	266332
168	24551	265996
169	24691	265793
170	24844	265733
171	24945	265114
172	25078	264845
173	25232	264791
174	25403	264925
175	25552	264814
176	25691	264606
177	25806	264150
178	25931	263804
179	26066	263556
180	26219	263498
181	26385	263567
182	26558	263696
183	26709	263609
184	26847	263394
185	26976	263092
186	27094	262689
187	27238	262532
188	27391	262468
189	27565	262594
190	27716	262505
191	27848	262242
192	27973	261904
193	28101	261606
194	28231	261325
195	28367	261093
196	28474	260604
197	28619	260470
198	28794	260600
199	28919	260277
200	29070	260189
201	29181	259740
202	29311	259471
203	29464	259404
204	29632	259461
205	29763	259204
206	29967	259571
207	30115	259456
208	30267	259374
209	30393	259067
210	30565	259156
211	30728	259167
212	30884	259112
213	31036	259021
214	31137	258517
215	31282	258368
216	31421	258180
217	31594	258264
218	31734	258079
219	31875	257900
